opportunity_id,name,client_name,owner,created_date,id_length
006Rj00000JaHCH,Robert Thomas Builders,Robert Thomas Builders,Anthony Dimaggio,2025-03-06 00:00:00,15
006Rj00000EPyH3,Samara,Samara,Carissa Anderson,2024-10-09 00:00:00,15
006Rj00000Lg5Tq,San Rufo Homes,San Rufo Homes,Anthony Dimaggio,2025-05-05 00:00:00,15
006Rj00000K662P,Saussy Burbank Inc,Saussy Burbank Inc,Sophia Jackson,2025-03-21 00:00:00,15
006Rj00000LH8Ri,Shea Homes,Shea Homes,Carissa Anderson,2025-04-24 00:00:00,15
006Rj00000DqR1S,Stylecraft Builders,Stylecraft Builders,Jack Alla,2024-09-24 00:00:00,15
006Rj00000LoqTx,Taylor Morrison,Taylor Morrison,Anthony Dimaggio,2025-05-08 00:00:00,15
006Rj00000DqU0v,Texas Homes,Texas Homes,Jack Alla,2024-09-24 00:00:00,15
006Rj00000LHAWm,Thomas James Homes,Thomas James Homes,Carissa Anderson,2025-04-24 00:00:00,15
006Rj00000LHI7i,Van Daele Homes,Van Daele Homes,Carissa Anderson,2025-04-24 00:00:00,15
006Rj00000GG3K5,Verity Homes,Verity Homes,Anthony Dimaggio,2024-12-05 00:00:00,15
006Rj00000DkAg2,View Homes,View Homes,Carissa Anderson,2024-09-20 00:00:00,15
006Rj00000Jd3j4,Wayne Homes,Wayne Homes,Sam Nichols,2025-03-07 00:00:00,15
006Rj00000LnnbN,Zion Development Group,Zion Development Group,Jack Alla,2025-05-08 00:00:00,15
